"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","RESIDENCEAREATYPE (CODE)","RESIDENCEAREATYPE (DISPLAY)","RESIDENCEAREATYPE (URL)","Display Value","Numeric","Low","High","Comments"
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","TZA","United Republic of Tanzania","","TOTL","Total","","9","9.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","GHA","Ghana","","TOTL","Total","","10","10.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","AFR","Africa","","MLI","Mali","","RUR","Rural","","10","10.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2012","2012","","AFR","Africa","","MWI","Malawi","","TOTL","Total","","10","10.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","AFR","Africa","","MDG","Madagascar","","RUR","Rural","","11","11.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","TCD","Chad","","TOTL","Total","","11","11.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","GNB","Guinea-Bissau","","TOTL","Total","","12","12.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","RUR","Rural","","12","12.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","ETH","Ethiopia","","RUR","Rural","","13","13.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","AFR","Africa","","GHA","Ghana","","URB","Urban","","13","13.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","AFR","Africa","","STP","Sao Tome and Principe","","RUR","Rural","","13","13.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","AFR","Africa","","BEN","Benin","","URB","Urban","","14","14.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","LBR","Liberia","","TOTL","Total","","14","14.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","AFR","Africa","","MLI","Mali","","RUR","Rural","","14","14.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","EMR","Eastern Mediterranean","","PAK","Pakistan","","RUR","Rural","","14","14.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","AGO","Angola","","RUR","Rural","","15","15.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","LBR","Liberia","","TOTL","Total","","15","15.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","WPR","Western Pacific","","FSM","Micronesia (Federated States of)","","RUR","Rural","","15","15.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","WPR","Western Pacific","","SLB","Solomon Islands","","RUR","Rural","","15","15.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","AFR","Africa","","LBR","Liberia","","TOTL","Total","","16","16.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","AFR","Africa","","MRT","Mauritania","","TOTL","Total","","16","16.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","MDG","Madagascar","","URB","Urban","","17","17.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","CIV","Côte d'Ivoire","","TOTL","Total","","18","18.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","COG","Congo","","URB","Urban","","18","18.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","COG","Congo","","URB","Urban","","18","18.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","MDG","Madagascar","","URB","Urban","","18","18.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","AFR","Africa","","MRT","Mauritania","","TOTL","Total","","18","18.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","COD","Democratic Republic of the Congo","","RUR","Rural","","19","19.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","AFR","Africa","","GHA","Ghana","","URB","Urban","","19","19.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","SEAR","South-East Asia","","IND","India","","RUR","Rural","","19","19.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","WPR","Western Pacific","","FSM","Micronesia (Federated States of)","","TOTL","Total","","19","19.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2012","2012","","AFR","Africa","","GHA","Ghana","","URB","Urban","","20","20.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","RUR","Rural","","20","20.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","AFR","Africa","","CAF","Central African Republic","","TOTL","Total","","21","21.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2012","2012","","AFR","Africa","","CAF","Central African Republic","","TOTL","Total","","22","22.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","AFR","Africa","","CAF","Central African Republic","","URB","Urban","","23","23.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","SLE","Sierra Leone","","URB","Urban","","23","23.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","TOTL","Total","","23","23.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","RUR","Rural","","23","23.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","WPR","Western Pacific","","KHM","Cambodia","","RUR","Rural","","23","23.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2012","2012","","AFR","Africa","","ETH","Ethiopia","","TOTL","Total","","24","24.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","GIN","Guinea","","URB","Urban","","24","24.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","AFR","Africa","","STP","Sao Tome and Principe","","URB","Urban","","24","24.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","WPR","Western Pacific","","CHN","China","","TOTL","Total","","24","24.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","AFR","Africa","","NER","Niger","","URB","Urban","","25","25.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","AFR","Africa","","UGA","Uganda","","RUR","Rural","","25","25.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","SEAR","South-East Asia","","BTN","Bhutan","","RUR","Rural","","25","25.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","SEAR","South-East Asia","","IND","India","","TOTL","Total","","25","25.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","LBR","Liberia","","URB","Urban","","26","26.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","LSO","Lesotho","","TOTL","Total","","26","26.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","AFR","Africa","","TGO","Togo","","URB","Urban","","26","26.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2012","2012","","AFR","Africa","","CMR","Cameroon","","RUR","Rural","","27","27.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","AFR","Africa","","ETH","Ethiopia","","URB","Urban","","27","27.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","SEAR","South-East Asia","","BTN","Bhutan","","RUR","Rural","","27","27.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","SEAR","South-East Asia","","NPL","Nepal","","TOTL","Total","","27","27.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","TLS","Timor-Leste","","RUR","Rural","","27","27.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","COM","Comoros","","TOTL","Total","","28","28.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","AFR","Africa","","KEN","Kenya","","URB","Urban","","28","28.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","TCD","Chad","","URB","Urban","","28","28.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","AFR","Africa","","UGA","Uganda","","TOTL","Total","","28","28.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","KEN","Kenya","","URB","Urban","","29","29.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","AFR","Africa","","KEN","Kenya","","RUR","Rural","","29","29.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","AMR","Americas","","NIC","Nicaragua","","RUR","Rural","","29","29.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","TOTL","Total","","29","29.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","NER","Niger","","URB","Urban","","30","30.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","SEAR","South-East Asia","","BGD","Bangladesh","","RUR","Rural","","30","30.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2012","2012","","AFR","Africa","","TCD","Chad","","URB","Urban","","31","31.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","SEAR","South-East Asia","","NPL","Nepal","","RUR","Rural","","31","31.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","KIR","Kiribati","","RUR","Rural","","31","31.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","AFR","Africa","","GAB","Gabon","","RUR","Rural","","32","32.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","EMR","Eastern Mediterranean","","PAK","Pakistan","","TOTL","Total","","32","32.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","SEAR","South-East Asia","","TLS","Timor-Leste","","RUR","Rural","","32","32.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","WPR","Western Pacific","","VUT","Vanuatu","","RUR","Rural","","32","32.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","AFR","Africa","","MLI","Mali","","URB","Urban","","33","33.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","STP","Sao Tome and Principe","","URB","Urban","","33","33.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","AFR","Africa","","UGA","Uganda","","RUR","Rural","","33","33.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","AFR","Africa","","ZMB","Zambia","","RUR","Rural","","33","33.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","AFR","Africa","","BDI","Burundi","","URB","Urban","","34","34.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","MLI","Mali","","URB","Urban","","34","34.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","MLI","Mali","","URB","Urban","","34","34.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","ZWE","Zimbabwe","","RUR","Rural","","34","34.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","YEM","Yemen","","RUR","Rural","","34","34.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","YEM","Yemen","","RUR","Rural","","34","34.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","SEAR","South-East Asia","","IDN","Indonesia","","RUR","Rural","","34","34.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","WPR","Western Pacific","","MNG","Mongolia","","RUR","Rural","","34","34.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","AFR","Africa","","MLI","Mali","","URB","Urban","","35","35.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2012","2012","","AFR","Africa","","MLI","Mali","","URB","Urban","","35","35.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","AFR","Africa","","NGA","Nigeria","","TOTL","Total","","35","35.00000","","",""
